TIC_ID,T_eff,Start_time,End_time,Peak_time(BJD),Amplitude,Duration(days),Flare_energy(erg),ED(s)
232073219,,2045.7052756698467,2045.7080534971087,2045.706202,0.3693641522183086,0.0027778272619798,,2768.356499418368
232073219,,2046.0455594879909,2046.0485688004703,2046.046022,0.1262964999239205,0.0030093124796621,,1508.9261747301305
238176832,3245.0,2057.895662943633,2057.9035333446227,2057.896589,0.1710850687862219,0.0078704009897592,1.258949128897651e+30,17889.038307019197
33864387,3443.0,2043.3756687406992,2043.377289120688,2043.376132,0.098037919173971,0.001620379988708,7.856889503734503e+28,864.1969052176573
33864387,3443.0,2053.412757047205,2053.418312622566,2053.414146,0.0797393451663654,0.0055555753615408,6.972005849808718e+29,2121.99704904104
259845346,3344.0,2041.194085897136,2041.2024193686768,2041.195243,0.2455185034202984,0.0083334715409364,4.577434828259403e+30,14022.542161850768
259845346,3344.0,2046.7851376706792,2046.790461811232,2046.785601,0.0576429553956543,0.0053241405521475,6.403824267335086e+29,2814.363652582462
259845346,3344.0,2053.6724516829504,2053.678007247136,2053.672915,0.0460200968189536,0.0055555641856699,9.478176173378276e+29,4206.246959311673
262575578,3465.0,2050.2900702372444,2050.29678311436,2050.290765,0.0904284831327801,0.0067128771156603,2.256567299221613e+30,5041.95697207115
266997586,5404.0,2041.554542882996,2041.5575521774297,2041.555006,0.0144181675280301,0.003009294433923,2.3847815467740185e+30,627.8928121629368
266998480,3663.0,2039.932316923448,2039.936020685992,2039.932548,0.009748910983104,0.0037037625434095,5.1997440573032895e+29,1326.5120465068749
266998480,3663.0,2044.798357918824,2044.8041450281792,2044.799515,0.0343093202097071,0.0057871093551966,2.129916527436619e+30,3706.246936236938
266998480,3663.0,2047.685429171014,2047.6916792449845,2047.686355,0.0107225009366929,0.0062500739704773,1.33442650920167e+30,1922.3329794148624
266998480,3663.0,2056.800772565028,2056.8047077628453,2056.801236,0.0184806312238077,0.0039351978175545,9.224610519707364e+29,2393.12397661396
270038761,3343.0,2045.608720462799,2045.6117297937888,2045.609183,0.0760606073881741,0.0030093309896983,8.561625918518337e+28,1371.004702309853
272086159,3262.0,2037.5168840754616,2037.521050681138,2037.517579,0.7770335618315295,0.004166605676346,4.20304016455424e+29,7889.309403072539
273369281,2908.0,2052.0251948953064,2052.02797266669,2052.025426,0.1400577517481875,0.0027777713835348,1.5536786474170115e+28,4858.810030074428
273512747,3283.0,2047.342237356544,2047.345478118152,2047.342932,0.092981346906354,0.0032407616085947,2.216934185558415e+29,3637.037680957955
273512747,3283.0,2047.954509937206,2047.967935956863,2047.955204,0.0174782811405987,0.0134260196568902,1.496372357058871e+30,5212.561287291932
273512747,3283.0,2053.9718849726537,2053.974662748459,2053.972116,0.0263939774004327,0.002777775805498,9.84658270970795e+28,1851.7803299669124
274017928,3397.0,2041.7178881439484,2041.72228627192,2041.718814,0.1065067805638469,0.0043981279713989,6.140761558287001e+29,3122.9462636000944
274017928,3397.0,2045.777818252149,2045.780133050769,2045.778281,0.0573510718115003,0.0023147986203184,1.1679141677214612e+29,1073.7957937844576
274017928,3397.0,2056.584426187082,2056.587435407477,2056.585121,0.0383572133440543,0.0030092203951426,1.7532465864666975e+29,1204.5777897974224
279572957,5570.45996094,2058.123514807552,2058.128607371267,2058.123746,0.0066273537770042,0.0050925637151522,7.06736373132761e+30,411.95781400968383
281582156,4971.0,2042.6020306848088,2042.6101323898145,2042.602725,0.027069773971465,0.0081017050056289,1.4634716439736651e+31,1679.2961803212677
293507177,3788.0,2049.657710464517,2049.6720623945416,2049.659562,0.1348807062429978,0.0143519300240768,1.8267386417107016e+31,9185.10524904267
299798795,3392.0,2041.798610490032,2041.8034716065995,2041.799536,0.0717922072396091,0.004861116567099,3.583351739331364e+29,2668.021461852693
299798795,3392.0,2043.9539355896784,2043.957870774224,2043.955093,0.0780361441733932,0.0039351845457531,2.0151331950606945e+29,1850.772251493046
299798795,3392.0,2045.4203699303544,2045.4226847429447,2045.420601,0.0422712226148293,0.0023148125906118,6.522351337857674e+28,1014.4099049664236
299798795,3392.0,2055.106913067385,2055.111079708161,2055.10807,0.0503623984846057,0.0041666407751108,1.557918535206716e+29,1301.6818994892508
304032310,3395.0,2057.6101548786546,2057.610849323712,2057.610386,0.0910659543179426,0.0006944450574337,8.238951149542857e+27,447.111499045721
349192028,3682.0,2041.809136306801,2041.8128399649768,2041.809368,0.0474863434126639,0.0037036581763914,7.747023563882393e+29,2129.350797874164
364588501,5605.0,2053.1468928833583,2053.156615039309,2053.14805,0.0229083136798978,0.0097221559508398,6.587176082990695e+31,2467.2047693939817
375034557,5913.0,2046.039137521163,2046.054183726571,2046.039832,0.0028085267911522,0.015046205407998,7.7778422169112925e+31,1559.4227162169825
55269690,4974.77978516,2039.574224906769,2039.583484266428,2039.575382,0.114537681152372,0.0092593596586993,1.9594556588824235e+31,3212.106748179729
55269690,4974.77978516,2056.7470856630293,2056.77162292513,2056.748012,0.1101052615182591,0.0245372621006936,1.944141806769857e+32,12853.153237796034
382043650,3432.0,2038.118409766473,2038.124196900859,2038.119104,0.0979909219094435,0.0057871343860824,1.2557808901171798e+30,3738.775809790286
382043650,3432.0,2046.49053373225,2046.4963208567983,2046.49146,0.0875848404062996,0.005787124548533,8.794092689359597e+29,2476.920603705868
382258517,,2039.8148613943483,2039.8220374168693,2039.815324,0.0162449977079607,0.00717602252098,,3235.005156272906
382258517,,2053.937987647069,2053.942385868871,2053.938914,0.0580551085072696,0.0043982218021483,,3726.990784171794
382258517,,2054.859299296277,2054.8667068264845,2054.860688,0.0365279055168467,0.0074075302072742,,5361.831621664916
382258517,,2057.0424369220395,2057.047529597048,2057.042668,0.0049534270814514,0.0050926750081998,,1150.7917606193778
382258517,,2057.675086007097,2057.678326799845,2057.676012,0.0186740421599184,0.0032407927474196,,1042.1515421736372
389426731,,2040.6597637432403,2040.662310096577,2040.659995,0.0624568921242863,0.0025463533365837,,1690.581678203057
389426731,,2041.0088455679795,2041.0141697592887,2041.010234,0.0511595387683855,0.0053241913092278,,2302.986610103194
403237836,3530.0,2045.6935521030653,2045.703737416064,2045.694478,0.0442312125764427,0.0101853129981464,2.741911648204564e+30,2969.129947156729
403237836,3530.0,2046.0576770081016,2046.069251225184,2046.059066,0.1139692243751798,0.011574217081943,5.470325535024853e+30,5743.719323103954
403237836,3530.0,2049.867672127871,2049.877625894767,2049.868135,0.0423554273302277,0.0099537668957054,2.407329418093125e+30,2596.2326275609985
403237836,3530.0,2056.436673178408,2056.453802806706,2056.437368,0.0207551402156605,0.0171296282978801,5.788408422416706e+30,3350.5646045170515
410214986,5414.0,2047.1797497640605,2047.198500057447,2047.181833,0.0182509829526556,0.0187502933868017,6.846108691445348e+31,1699.1847086496634
410214986,5414.0,2056.8536948806163,2056.8643430921047,2056.855084,0.0143605385615205,0.0106482114883874,1.841260595174702e+31,653.8053399518654
431589361,3642.0,2039.361240512022,2039.3665646402344,2039.362166,0.1643154826929638,0.0053241282125782,3.0009619720363683e+30,5400.350295885595
441398770,,2050.317567804029,2050.362012588526,2050.320346,0.1170287805450504,0.0444447844970454,,45622.99484732837
441398770,,2058.237270243492,2058.2706035582887,2058.239817,0.1319106361183766,0.0333333147968915,,23677.6056617862
441420236,,2053.427320722344,2053.4604227676414,2053.428247,0.0066529098854078,0.0331020452977099,,3617.116053807068
441420236,,2056.910436366576,2056.9426123615744,2056.912288,0.0185649955661251,0.032175994998397,,6133.366490230974
140045538,3466.0,2072.3351525862995,2072.348346916436,2072.336079,0.0063443546434502,0.0131943301366845,3.082031602272997e+30,2684.943452157492
