TIC_ID,Start_Time (TBJD),End_Time (TBJD),Sigma,Time_Extension (days),Best_Model_ID,Best_Model_Name,Best_Model_BIC,Power_Law_Index,rchi2_M0,rchi2_M1,rchi2_M2,Period (s),Err_P,Error_P (s),BIC_M2_M1,BIC_M0_M1,T_eff (K),Amplitude,Flare_energy (erg),ED (s),Duration (days),Duration (mins),Prot (d)
322950055,3150.217615,3150.237059,1,0.00648133,1,pow_const_gauss,-409.6725407,4.373717041,1.553624538,0.753114353,1.192072656,141.1760892,0.062,8.75291753,13.77350483,10.95750953,,0.049232761,,3428.423569,0.01296266,18.6662304,1.32
325525541,3144.016168,3144.027973,1,0.003935156,1,pow_const_gauss,-114.7881081,2.879011348,1.363580149,0.356400296,1.498734045,65.56751877,0.135,8.851615034,19.64083786,13.37365921,3897,0.061872565,9.85E+30,7741.575642,0.007870313,11.33325072,13.09
273416539,3161.753388,3161.759985,1,0.002199042,1,pow_const_gauss,-45.27329545,3.506523532,1.657209728,0.449945467,2.010622478,46.41562715,0.02,0.928312543,17.95359051,12.88065061,3459,0.091400203,4.75E+29,1757.935893,0.004398085,6.3332424,1.65
289840928,3175.262856,3175.270726,2,0.003935081,1,pow_const_gauss,-36.30969936,3.468851,1.488966528,0.578321596,0.887123795,80.97993875,0.115,9.312692956,10.86821143,11.16808823,3051,0.071742345,8.69E+28,1545.81066,0.003935081,5.66651664,0.65
268510757,3210.227137,3210.248551,3,0.012848455,1,pow_const_gauss,-133.8880945,3.173442368,2.051517061,0.730314174,2.149931825,42.87645258,0.05,2.143822629,19.68431893,13.15688428,3783,0.909973533,7.10E+30,3114.350392,0.008565636,12.33451584,3.42
306485634,3252.613374,3252.622634,2,0.004629593,1,pow_const_gauss,-30.16779229,3.009689166,1.534864495,0.276265603,0.848180067,74.03089866,0.145,10.73448031,15.78503882,22.20797564,3167,0.111008367,1.02E+29,2672.352551,0.004629593,6.66661392,0.9
345451496,3252.217949,3252.292257,1,0.02476924,1,pow_const_gauss,-1844.527862,6,2.388941455,0.974238039,2.379130203,60.69194805,0.05,3.034597403,55.42615,48.65696646,25400,3.72346865,3.94E+33,75503.79485,0.04953848,71.3354112,2.3
345451496,3252.22119,3252.284733,1,0.021181173,1,pow_const_gauss,-1468.204332,6,2.366290994,0.954250689,2.371842805,60.45493396,0.05,3.022746698,47.62788424,39.50368484,25400,4.491010236,3.07E+33,68877.99495,0.042362345,61.0017768,2.3
219790151,3390.607915,3390.615785,0,0,1,pow_const_gauss,-32.96040619,4.41736915,1.477137282,0.327374595,1.735571695,47.88422537,0.105,5.027843664,17.18946974,12.63112378,,0.009454145,,1152.391307,0.007870452,11.33345088,1.85
233342788,3377.944229,3377.969923,1,0.008564877,1,pow_const_gauss,-412.7708511,2.263077059,1.127386424,0.761044189,1.117433299,45.69490238,0.05,2.284745119,27.34930057,20.70586345,3705,0.077753514,1.04E+31,25640.04887,0.017129754,24.66684576,0.5
11333775,3455.940321,3455.953747,2,0.006713018,1,pow_const_gauss,-43.81091239,4.040006935,2.091942374,0.461709968,2.266802807,60.83864801,0.08,4.867091841,27.25051071,20.58734114,4097,0.285408863,8.10E+29,2320.139986,0.006713018,9.66674592,6.56
350166984,3493.081798,3493.084923,1,0.001041681,1,pow_const_gauss,-0.550468811,-1,1.401284337,0.337935765,3.059029761,64.16236986,0.25,16.04059247,19.60059313,11.22008309,4937,0.003421494,1.78E+29,16.15935976,0.002083363,3.00004272,2.9
,,,,,,,,,,,,,,,,,,,,,,,
